experiment_id,experiment_name,test_name,timestamp,relative_time_seconds,metric,series,value
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788097982.837000,0.000024,all_requests,all,0
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788097983.837000,1.000024,all_requests,all,0
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788097984.837000,2.000024,all_requests,all,8
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788097985.837000,3.000024,all_requests,all,20
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788097986.837000,4.000024,all_requests,all,38
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788097987.837000,5.000024,all_requests,all,61
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788097988.837000,6.000024,all_requests,all,87
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788097989.837000,7.000024,all_requests,all,120
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788097990.837000,8.000024,all_requests,all,156
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788097991.837000,9.000024,all_requests,all,199
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788097992.837000,10.000024,all_requests,all,245
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788097993.837000,11.000024,all_requests,all,296
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788097994.837000,12.000024,all_requests,all,353
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788097995.837000,13.000024,all_requests,all,415
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788097996.837000,14.000024,all_requests,all,480
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788097997.837000,15.000024,all_requests,all,552
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788097998.837000,16.000024,all_requests,all,627
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788097999.837000,17.000024,all_requests,all,705
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788098000.837000,18.000024,all_requests,all,783
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788098001.837000,19.000024,all_requests,all,861
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788098002.837000,20.000024,all_requests,all,939
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788098003.837000,21.000024,all_requests,all,1017
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788098004.837000,22.000024,all_requests,all,1095
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788098005.837000,23.000024,all_requests,all,1173
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788098006.837000,24.000024,all_requests,all,1251
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788098007.837000,25.000024,all_requests,all,1329
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788098008.837000,26.000024,all_requests,all,1407
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788098009.837000,27.000024,all_requests,all,1485
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788098010.837000,28.000024,all_requests,all,1563
2026-08-30_13-53-02-836976_baseline,baseline,high-skew-zipf,1788098011.837000,29.000024,all_requests,all,1641
