experiment_id,experiment_name,test_name,timestamp,relative_time_seconds,metric,series,value
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339159.471000,-0.000431,all_requests,all,0
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339160.471000,0.999569,all_requests,all,1
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339161.471000,1.999569,all_requests,all,9
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339162.471000,2.999569,all_requests,all,22
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339163.471000,3.999569,all_requests,all,40
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339164.471000,4.999569,all_requests,all,62
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339165.471000,5.999569,all_requests,all,89
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339166.471000,6.999569,all_requests,all,122
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339167.471000,7.999569,all_requests,all,160
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339168.471000,8.999569,all_requests,all,202
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339169.471000,9.999569,all_requests,all,249
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339170.471000,10.999569,all_requests,all,301
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339171.471000,11.999569,all_requests,all,358
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339172.471000,12.999569,all_requests,all,420
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339173.471000,13.999569,all_requests,all,486
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339174.471000,14.999569,all_requests,all,557
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339175.471000,15.999569,all_requests,all,634
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339176.471000,16.999569,all_requests,all,712
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339177.471000,17.999569,all_requests,all,790
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339178.471000,18.999569,all_requests,all,868
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339179.471000,19.999569,all_requests,all,945
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339180.471000,20.999569,all_requests,all,1024
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339181.471000,21.999569,all_requests,all,1102
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339182.471000,22.999569,all_requests,all,1180
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339183.471000,23.999569,all_requests,all,1258
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339184.471000,24.999569,all_requests,all,1335
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339185.471000,25.999569,all_requests,all,1413
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339186.471000,26.999569,all_requests,all,1492
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339187.471000,27.999569,all_requests,all,1570
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339188.471000,28.999569,all_requests,all,1647
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339189.471000,29.999569,all_requests,all,1726
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339190.471000,30.999569,all_requests,all,1803
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339191.471000,31.999569,all_requests,all,1882
2026-09-02_08-52-39-471431_singleFlight,singleFlight,moderate-skew-zipf-l2only,1788339192.471000,32.999569,all_requests,all,1960
