experiment_id,experiment_name,test_name,timestamp,relative_time_seconds,metric,series,value
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571925.536000,-0.000173,all_requests,all,0
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571926.536000,0.999827,all_requests,all,2
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571927.536000,1.999827,all_requests,all,9
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571928.536000,2.999827,all_requests,all,23
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571929.536000,3.999827,all_requests,all,42
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571930.536000,4.999827,all_requests,all,65
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571931.536000,5.999827,all_requests,all,93
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571932.536000,6.999827,all_requests,all,126
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571933.536000,7.999827,all_requests,all,164
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571934.536000,8.999827,all_requests,all,207
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571935.536000,9.999827,all_requests,all,254
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571936.536000,10.999827,all_requests,all,306
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571937.536000,11.999827,all_requests,all,363
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571938.536000,12.999827,all_requests,all,426
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571939.536000,13.999827,all_requests,all,493
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571940.536000,14.999827,all_requests,all,565
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571941.536000,15.999827,all_requests,all,642
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571942.536000,16.999827,all_requests,all,720
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571943.536000,17.999827,all_requests,all,798
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571944.536000,18.999827,all_requests,all,875
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571945.536000,19.999827,all_requests,all,953
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571946.536000,20.999827,all_requests,all,1032
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571947.536000,21.999827,all_requests,all,1109
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571948.536000,22.999827,all_requests,all,1187
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571949.536000,23.999827,all_requests,all,1265
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571950.536000,24.999827,all_requests,all,1343
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571951.536000,25.999827,all_requests,all,1421
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571952.536000,26.999827,all_requests,all,1499
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571953.536000,27.999827,all_requests,all,1577
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571954.536000,28.999827,all_requests,all,1655
2026-08-24_11-45-25-536173_baseline,baseline,moderate-skew-zipf,1787571955.536000,29.999827,all_requests,all,1733
